city,Population
"Schenectady city, New York",65575
"Jupiter town, Florida",65524
"Harlingen city, Texas",65436
"Ankeny city, Iowa",65284
"Blaine city, Minnesota",65212
"Wellington village, Florida",65200
"Bayonne city, New Jersey",65083
"Youngstown city, Ohio",64958
"San Clemente city, California",64857
"Castle Rock town, Colorado",64827
"Eastvale city, California",64822
"Santa Cruz city, California",64725
"Janesville city, Wisconsin",64565
"Tulare city, California",64475
"East Orange city, New Jersey",64457
"Pflugerville city, Texas",64431
"Eden Prairie city, Minnesota",64334
"Port Orange city, Florida",64252
"Haverhill city, Massachusetts",64041
"Lorain city, Ohio",64028
"Cheyenne city, Wyoming",63957
"Brentwood city, California",63800
"San Marcos city, Texas",63509
"Dublin city, California",63445
"Grand Junction city, Colorado",63374
"Skokie village, Illinois",63280
"Noblesville city, Indiana",63133
"North Miami city, Florida",62996
"Springfield city, Oregon",62979
"Waltham city, Massachusetts",62962
"Encinitas city, California",62904
"Pico Rivera city, California",62888
"Montebello city, California",62632
"Coon Rapids city, Minnesota",62527
"Council Bluffs city, Iowa",62421
"La Habra city, California",62183
"Hamilton city, Ohio",62174
"Moore city, Oklahoma",62103
"Petaluma city, California",61917
"Doral city, Florida",61824
"Idaho Falls city, Idaho",61535
"National City city, California",61431
"Coconut Creek city, Florida",61361
"Millcreek city, Utah",61270
"Burnsville city, Minnesota",61203
"Taylor city, Michigan",61148
"Malden city, Massachusetts",61036
"Chapel Hill town, North Carolina",60988
"Novi city, Michigan",60951
"Marietta city, Georgia",60806
"Terre Haute city, Indiana",60753
"Lakewood city, Washington",60538
"Woodland city, California",60531
"Ocala city, Florida",60429
"Monterey Park city, California",60401
"Taylorsville city, Utah",60192
"Cupertino city, California",60170
"Utica city, New York",60100
"Sanford city, Florida",60035
"Bristol city, Connecticut",60032
"Porterville city, California",59988
"Vineland city, New Jersey",59966
"Owensboro city, Kentucky",59809
"Pontiac city, Michigan",59772
"Gardena city, California",59721
"La Mesa city, California",59556
"Meriden city, Connecticut",59540
"West Allis city, Wisconsin",59492
